日本語	英語
少なくとも1週間前には予約しておきなさい。	Make a reservation at least a week in advance.
そんなにいい話を断るなんておかしいよ。	It doesn't make sense to turn down such a good offer.
どの候補者も私は信用しない。第一に、彼らはいつも守らない約束をする。	I don't trust any candidate. To begin with. They always make promises they don't keep.
彼は裁判所に嘘の陳述をした。	He made a false statement during the trial.
必ず、小論文はしっかりした論理的構造をとっているようにしなさい。	Make sure that your essay has a solid logical structure.
経験を積めば積むほど、より賢明な判断ができるだろう。	The more experience you have, the wiser decisions you will make.
地震予知のために人工知能を活用している科学者もいる。	Some scientists are making use of artificial intelligence to predict earthquakes.
あらゆる努力をしなければ、置いていかれる。	Unless you make every effort, you'll be left behind.
その会社は消費者をだます意図的な企てを行ってきた。	The company has made deliberate attempts to deceive consumers.
彼らは山あいの谷を徒歩で進んだ。	They made their way on foot through the valley.
お金を稼ぐことはそれ自体が目的ではなく、目的のための手段に過ぎない。	Making money is not an end in itself but just a means to an end.
「行く途中、君を迎えに行くよ。」 / 「気を使わないで。一人でタクシーで行くわ。」	"I'll pick you up on the way." / "No thanks. I'll take a taxi by myself."
「ジェーンさん、お願いします。」 / 「彼女は今、別の電話に出ています。伝言を承りましょうか？」	"Can I speak to Jane?" / "She's on another line right now. Can I take a message?"
私に限って言えば、どんな危険を冒すこともいとわない。	As far as I'm concerned, I'm willing to take any risk.
めったにないこの機会を利用しなさい。	Take advantage of this rare opportunity.
彼女がうなずくと、彼は彼女の手をとって海岸へ連れて行った。	When she nodded, he took her by the hand and led her to the shore.
これらの錠剤は空腹時には服用しないこと。	Don't take these pills on an empty stomach.
「のどがひりひりしてせきがひどいんだ。」 / 「熱を測りなよ。」	"I have a sore throat and a bad cough." / "Take your temperature."
そろそろどんな進路に進むかを決めてもいい頃だ。	It's about time you decided what career path to take."
広告活動のあらゆる面での技能と知識を習得するには時間がかかる。	It takes time to acquire skills and knowledge in all aspects of advertising.
慌てずに、一つ一つ問題に対処しなさい。	Take your time, and deal with the problems one by one.
いいじゃないか。そのことで口論したって無駄だよ。	Take it easy. It's no use arguing about it.
その装置がとても小さいけれど賢いことにびっくりした。	We were amazed that the device was tiny but smart.
ボブは昆虫恐怖症だか、生物学を勉強している。	Although Bob is frightened of insects, he studies biology.
聴衆が死ぬほど退屈したのも当然だ。話題が退屈だったから。	No wonder the audience was bored to death. The topic was boring.
あなたたちは結婚したのだから、お互いを尊重し合いなさい。	Now that you've gotten married, respect each other.
道に迷ってしまった。さらに悪いことに車が故障した。	I got lost. To make matters worse, my car broke down.
「みんなに会えるから、わくわくするよ。」 / 「私も。」	"I'm excited about getting together." / "So am I."
交渉が失敗に終わったので、緊張は悪化するだろう。	The negotiations have failed, so the tension will get worse.
彼に対する私たちの敵意は、ますます激しくなった。	Our hostility toward him grew more and more intense.
日本の金融機関は潰れないという神話があった。	There was a myth that Japanese financial institutions would not go bankrupt.
現実はマスコミが描くものとは多少異なる。	The reality is somewhat different from what the media describe.
重要なものが目に見えるとは限らない。	What counts is not always visible.
残りものをどうするか決めた？	Have you made up your mind about what to do with the rest of the stuff?
無作為にいくつかを選び、それらを正しい順番に並べなさい。	Pick some at random, then put them in correct order.
彼の伝記が発売になった時、私はそれを買うために何時間も並んだ。	When his biography was released, I stood in line for hours to get it.
あなたからの連絡を心待ちにしています。あなたに会えなくてさみしいです。	I am anxious to hear from you. I miss you.
「ところで、お仕事は何を？」 / 「スーパーを経営しています。」	"By the way, what do you do?" / "I run a grocery store."
彼女は、私の方に身を寄せ、「一緒に行くわ」とささやいた。	She leaned forward and whispered to me, "I'll come with you."
このメチャクチャな状態にはもう我慢できない！	I can't stand this mess anymore!
理論というものが必ずしも実際にうまく機能するわけではないことを、覚えておきなさい。	Keep in mind that theories don't necessarily work in practice.
先日、彼らはジョーを雇った。そして今日、彼をクビにした。	The other day they hired Joe, and today they fired him.
私たちは交代で食器を洗う。今週は僕の番だ。	We take turns doing the dishes. This week, it's my turn.
トムが羨ましい。彼は友達作りがうまいからね。	I envy Tom because he is good at making friends.
握手と挨拶を交わした後、彼らは仕事に取りかかった。	After shaking hands and exchanging greetings, they got down to business.
子供がその秘めた能力を発揮できるように大人は励ましてあげるべきだ。	Grownups should encourage children to reach their potential.
ついに私たちは彼を説得してあきらめさせた。	At last, we persuaded him to give up.
忘れずに出発日を教えて下さい。	Please remember to let me know your departure date.
「招待状の返事を出すのを忘れちゃだめだよ。」 / 「ええ。」	"Don't forget to reply to the invitation." / "I won't."
私たちは彼が討論に参加してくれることを期待した。	We expected him to participate in the debate.
