ドイツ語例文,日本語訳
Die Straßennamen von Berlin kannte der Taxifahrer von A bis Z.,ベルリンの道路の名前をそのタクシーの運転手はすべて知っている。
Die alte Witwe lädt uns ab und zu zum Tee ein.,その老いた未亡人は私たちをときどきお茶に招いてくれる。
"Abgesehen davon, dass ich keine Ballspiele mag, macht der Sportunterricht Spaß.",球技が好きでないことを別にすれば体育の授業は楽しい。
In seiner Rede sprach der Ministerpräsident zum Abschluss noch über die Auflösung des Parlaments.,首相はスピーチの終わりに議会の解散について話した。
Bis morgen muss die Arbeit zum Abschluss gebracht werden.,明日までにこの仕事を終えなくてはならない。
Er hat uns mit Absicht bei der Arbeit gestört.,彼はわざと私たちの仕事の邪魔をした。
Er hat sie ohne Absicht beleidigt.,彼はうっかり彼女の感情を害してしまった。
Vor Schmerzen schrie sie Ach und Weh.,痛みのあまりに彼女は嘆きわめいた。
"Als die Mutter nach den Leistungen fragte, zuckte das Kind nur die Achseln.",母親がメリットについて尋ねると、子供は肩をすくめるだけでした。
Einen so kleinen Fehler können wir ruhig außer Acht lassen.,そんな些細なミスは気にかけなくても良い。
Nehmen Sie sich bitte vor Grippenviren in Acht!,インフルエンザウイルスに気をつけて下さい。
Ich habe keine Ahnung von Musik.,私は音楽のことは何もわからない。
Schon früh am Morgen sind viele Tiere in Aktion.,朝早くにもう多くの動物が活動している。
Jetzt ist es der günstigste Zeitpunkt. Wir sollten in Aktion treten.,今がいい潮時だ。我々は行動を起こすべきだ。
Alles in allem ist unsere Firma in den roten Zahlen.,結局のところ、我が社は赤字だ。
Vor allem leiden die alten Leute unter der Einsamkeit.,特に老人たちが孤独に悩んでいる。（unter ...3 leiden : ...3で悩む）
Sowohl Japaner als auch Deutsche sind im Allgemeinen fleißig.,日本人もドイツ人も一般的に勤勉である。
"Der Plan ist an sich ausgezeichnet, aber es ist schwer ihn zu verwirklichen.",計画自体は素晴らしいが、実行するのは難しい。
Der Vortrag war von Anfang bis Ende sehr anregend.,その講演は初めから終わりまで非常に示唆に富むものだった。
Diese Maschine war von Anfang an nicht in Ordnung.,この機会は初めから調子が良くなかった。
Wer macht den Anfang?,誰から先に始めますか？
Der faule Sohn ist finanziell noch auf seine Eltern angewiesen.,その怠け者の息子はまだ経済的に親を頼りにしている。
Die Journalistin nahm die Recherche für ihren Artikel schon früh in Angriff.,そのジャーナリストは彼女の記事のための調査にもう早くから取り掛かっていた。
"Es kommt auf das Wetter an, ob wir morgen abreisen können.",明日旅立てるかどうかは天候次第だ。
Auf das Geld kommt es nicht an.,お金のことは問題ではない。
"Er nahm das Gespräch zum Anlass, Verbindungen herzustellen.",彼はその会談をコネをつけることに利用した。
Allem Anschein nach sind sie schon abgereist.,どうやら彼らはすでに去ったようだ。
Im Anschluss an die Präsentation fand eine Diskussion statt.,プレゼンテーションに引き続いて検討が行われた。
Meiner Ansicht nach wird die wirtschaftliche Lage immer schlimmer.,私の考えでは、経済状況は悪化している。
"Die Politiker sind der Ansicht, dass die Verbrauchsteuer erhöht werden soll.",政治家たちは消費税を上げなければならないと考えている。
Diese Arbeit nimmt sehr viel Zeit in Anspruch.,この仕事には非常に多くの時間が必要だ。
"Die Kinder machten keine Anstalten, nach Hause zu gehen.",子供達は一向に家に帰ろうとはしなかった。
