ドイツ語フレーズ	日本語
von A bis Z	はじめから終わりまで、例外なくすべて
ab und zu	ときどき
abgesehen davon, dass...	...ということは別にして
zum Abschluss	終わりに、最後に
... zum Abschluss bringen	...を終える
mit Absicht	故意に、わざと
ohne Absicht	何気なく、うっかりと
Ach und Weh schreien	嘆きわめく
die Achseln zucken/ mit den Achseln zucken	肩をすくめる
... außer Acht lassen	...を気にかけない、...を顧みない
sich4 vor ...3 in Acht nehmen	...3に気をつける
von ...3 keine Ahnung haben	...3について何も知らない
in Aktion sein	活動している
in Aktion treten	行動を起こす
alles in allem	要するに、全体として
vor allem	とりわけ、特に
im Allgemeinen	一般に
an sich/an und für sich	それ自体は
von Anfang bis Ende	はじめから終わりまで
von Anfang an	初めから
den Anfang machen	真っ先に始める
auf ... angewiesen sein	...を頼りにしている、当てにしている
... in Angriff nehmen	...に着手する
auf ... ankommen	...次第である
es kommt auf ... an	...が重要である
... zum Anlass nehmen	...をきっかけにする、口実にする
dem Anschein nach allem Anschein nach	みたところ、どうやら
im Anschluss an ...	...に引き続いて
seiner Ansicht nach nach seiner Ansicht	...の考えでは
der Ansicht sein	...という考えである
... in Anspruch nehmen	...を必要とする
Anstalten machen	...しようとする
Anstoß erregen	不快にさせる
an ...3 Anstoß nehmen	...3を不快に思う
an ...3 Anteil nehmen	...3に関心を持つ、同情する
... in/zur Anwendung bringen	...を用いる、適用する
... zur Anzeige bringen	...を訴える、...を告発する
Arm in Arm	互いに腕を組んで
... auf den Arm nehmen	...をからかう
außer Atem kommen/geraten	息を切らす
Auf und ab	浮き沈み
... auf ... aufmerksam machen	...に...を気づかせる
auf ... aufmerksam werden	...に気づく
für ... ein Auge haben	...を見る目がある
unter vier Augen	二人だけで
große Augen machen	目を丸くする
jeden Augenblick	今にも
im Augenblick	目下のところ
...3 die Daumen drücken	...3の成功を祈る
zur Debatte stehen	議論の対象となっている、討議されている
es sei denn	...でもない限り
in allen Details	詳細に
bis ins kleinste Detail	細大漏らさず
auf gut Deutsch (gesagtを添えることがある）	率直に言って
guter Dinge sein	上機嫌である
vor allen Dingen	とりわけ、何よりも
... zur Diskussion stellen	...を議題にする
zur Diskussion stehen	議題となっている
... unter Druck setzen	...に圧力をかける
durch und durch	完全に
im Durchschnitt	平均して
in/zu Dutzenden	大勢で、大量に
in Eile	急いで
es eilig haben	急いでいる
zum einen..., zum anderen...	ひとつには...、もうひとつには...
auf... Eindruck machen	...に印象を与える
auf... Einfluss ausüben	...に対して影響を及ぼす
auf einmal	急に
auf einmal	一度に
nicht einmal	...すらない
im Einzelnen	個々に
ins Einzelne gehen	細部にわたる
