英語,日本語
That's all for [名詞],[名詞]はこれで以上だ
[主語] will eat up [モノ/事],[主語]が[モノ/事]を食いつぶす
most of [名詞],[名詞]の大半
encourage [人] to [動詞],[人]に[動詞]するよう勧める
while [主語+動詞],[主語]が[動詞]できるうちに
I'd be happy to [動詞],喜んで[動詞]する
Why would [主語] [動詞]?,なんで[主語]が[動詞]なんてするの？
tag along (with [人]),（[人]に）ついて行く
Don't be [形容詞],[形容詞]な態度をとるな
When [モノ/事] is involved,[モノ/事]が関わっているとき
need adult supervision,大人の監視が必要だ
That makes sense.,それは理にかなっている
[主語] is baffling,[主語]が理解不能だ
a certified [名詞],誰もが認める[名詞]
dumb things,くだらないこと
Did something happen between [人] and [人]?,[人]と[人]の間で何かあったの？
Keep your chin up.,元気を出して
If you knew [過去形/事実],（もし）〜だと知っていたら
[主語] thought that would [動詞],[主語]はそれが[動詞]すると思った
cheer [人] up,[人]を元気づける
What goes on in [人]'s head?,[人]の頭の中はどうなってるの？
ask [人] for [モノ/事],[人]に[モノ/事]を求める
have the guts to [動詞],[動詞]する度胸がある
Who's up for [名詞/動名詞]?,[名詞/動名詞]したい人？
What a steal!,激安だ！
I think I'm gonna pass.,（今回は）やめておくよ
[人/モノ] sounded so [形容詞],[人/モノ]がとても[形容詞]に聞こえた
Then again...,そうは言っても
That's kind of [人]'s thing.,それは[人]のいつものやつだ
[主語] has to be [名詞/形容詞],[主語]は絶対に[名詞/形容詞]だ
pick up [モノ/事],[モノ/事]を感知する
I don't even know if [主語+動詞],[主語が〜する]かどうかすら分からない
gotta [動詞],[動詞]しなきゃ
It feels like [主語+動詞],[主語が〜している]気がする
[名詞] or something,[名詞]か何か
way [形容詞],めちゃくちゃ[形容詞]だ
Got it.,了解
I'll handle [モノ/事],[モノ/事]は私が処理するよ
[モノ/事] sucks.,[モノ/事]は最悪だ
