時間	構文	例文	日本語
2s	That's all for [名詞]	That's all for today's class.	[名詞]はこれで以上だ
10s	[主語] will eat up [モノ/事]	...studying will eat up most of...	[主語]が[モノ/事]を食いつぶす
10s	most of [名詞]	...most of your summer break.	[名詞]の大半
12s	encourage [人] to [動詞]	I encourage you to go out and...	[人]に[動詞]するよう勧める
12s	while [主語] still can	...while you still can.	[主語]ができるうちに
17s	I'd be happy to [動詞]	In fact, I'd be happy to come with you.	喜んで[動詞]する
21s	Why would [主語] [動詞]?	Why the hell would we invite...	なんで[主語]が[動詞]なんてするの？
21s	tag along (with [人])	...a teacher to tag along?	（[人]に）ついて行く
24s	Don't be [形容詞]	Don't be dense, Ishikawa.	[形容詞]な態度をとるな
26s	When [モノ/事] is involved	If there are swimsuits involved...	[モノ/事]が関わっているとき
26s	need adult supervision	...you're going to need adult supervision.	大人の監視が必要だ
30s	That makes sense.	Oh, yeah, that makes sense.	それは理にかなっている
30s	[主語] is baffling	Their stupidity is baffling.	[主語]が理解不能だ
38s	a certified [名詞]	...a certified hottie if he didn't talk.	誰もが認める[名詞]
44s	dumb things	Just ignore the dumb things he says.	くだらないこと
48s	Did something happen between [人] and [人]?	...did something happen between the two of you?	[人]と[人]の間で何かあったの？
56s	Keep your chin up.	Keep your chin up.	元気を出して
57s	If you knew [過去形/事実]	...if you knew how much I love...	（もし）〜だと知っていたら
1:04	[主語] thought that would [動詞]	He thought that would cheer me up.	[主語]はそれが[動詞]すると思った
1:04	cheer [人] up	...cheer me up.	[人]を元気づける
1:08	What goes on in [人]'s head?	Just what goes on in his head?	[人]の頭の中はどうなってるの？
1:12	ask [人] for [モノ/事]	...asking me for your phone number...	[人]に[モノ/事]を求める
1:18	have the guts to [動詞]	He didn't have the guts to ask...	[動詞]する度胸がある
1:24	Who's up for [名詞/動名詞]?	Yo, who's up for some bad singing?	[名詞/動名詞]したい人？
1:30	What a steal!	Half off, two hours. What a steal.	激安だ！
1:35	I think I'm gonna pass.	Ah, I think I'm gonna pass.	（今回は）やめておくよ
1:56	[人/モノ] sounded so [形容詞]	Oh, he sounded so depressed.	[人/モノ]がとても[形容詞]に聞こえた
