英語,日本語
from all over the world,世界中から
a while ago,しばらく前に
in recent years,近年では
I used to V,（以前はよく）〜したものだ
I try to V,〜するように努めている
all over the place,至る所に
for a long time,長い間
these days,最近は
at first,最初は
in the end,結局は
from now on,これからは
right away,すぐに
all day long,一日中
in the middle of ...,〜の真ん中で / 〜の最中に
on my way home,家に帰る途中で
look forward to V-ing,〜を楽しみに待つ
be good at V-ing,〜するのが得意だ
feel free to V,遠慮なく〜する
spend time V-ing,〜して時間を過ごす
make up one's mind,決心する
take care of ...,〜の世話をする / 〜に対応する
get along with ...,〜と仲良くやる
in fact,実際は / 実は
as a result,結果として
on the other hand,その一方で
according to ...,〜によると
because of ...,〜が理由で
first of all,まず第一に
for example,例えば
by the way,ところで
a lot of ...,たくさんの〜
a couple of ...,2〜3の〜
at least,少なくとも
a kind of ...,〜の一種
all kinds of ...,あらゆる種類の〜
take a break,休憩する
have a good time,楽しむ / 良い時間を過ごす
make a mistake,間違える
pay attention to ...,〜に注意を払う
keep in mind that ...,〜ということを心に留めておく
as soon as possible,できるだけ早く
sooner or later,遅かれ早かれ
not only A but also B,AだけでなくBも
in order to V,〜するために
as long as ...,〜である限り
no matter what,何があっても
give up V-ing,〜するのをあきらめる
come up with ...,〜（アイデアなど）を思いつく
run out of ...,〜を使い果たす / 切らす
be about to V,まさに〜しようとしている
be afraid of ...,〜を恐れている / 怖がる
be proud of ...,〜を誇りに思っている
be interested in ...,〜に興味がある
be full of ...,〜で満ちている / いっぱいだ
be famous for ...,〜で有名だ
be late for ...,〜に遅刻する
be ready for ...,〜の準備ができている
be different from ...,〜と異なる
be similar to ...,〜と似ている
be responsible for ...,〜に責任がある / 〜を担当している
depend on ...,〜次第である / 〜に頼る
belong to ...,〜に所属している / 〜のものである
care about ...,〜を気にかける / 大事にする
worry about ...,〜を心配する
complain about ...,〜について文句を言う
deal with ...,〜に対処する / 扱う
focus on ...,〜に集中する / 重点を置く
rely on ...,〜に頼る / 信頼する
suffer from ...,〜に苦しむ / （病気など）にかかる
laugh at ...,〜を笑う
look for ...,〜を探す
look after ...,〜の世話をする
look like ...,〜のように見える
look into ...,〜を調べる / 調査する
take off,（服などを）脱ぐ / （飛行機が）離陸する
turn on ...,（電気などを）つける
turn off ...,（電気などを）消す
turn out to be ...,結局〜だと分かる
put off ...,〜を延期する
put on ...,〜を身につける / 着る
pick up ...,〜を拾う / 車で迎えに行く
call off ...,〜を中止する / キャンセルする
catch up with ...,〜に追いつく
keep up with ...,〜について行く / 遅れずについていく
figure out ...,〜を理解する / 解決する
find out ...,〜を見つけ出す / 発見する
show up,（約束の場所に）現れる
grow up,成長する / 大人になる
wake up,目を覚ます
stay up late,夜更かしする
in a rush,急いで
in a hurry,慌てて / 急いで
on time,時間通りに
in time for ...,〜に間に合って
by chance,たまたま / 偶然
on purpose,故意に / わざと
step by step,一歩一歩 / 段階的に
little by little,少しずつ
side by side,並んで / 肩を並べて
face to face,向かい合って / 対面で
I make a decision,決断する
I change my mind,考えを改める / 意見を変える
I get used to V-ing,〜に慣れる
I am used to V-ing,〜に慣れている
It turns out that ...,〜ということが判明する
It takes time to V,〜するのに時間がかかる
It sounds good,良さそうですね / いいですね
It seems like ...,〜のようだ
It doesn't matter,関係ない / 問題ない
It makes sense,理にかなっている / 筋が通っている
I do my best,全力を尽くす
I have no choice,選択肢がない / 仕方がない
I get lost,道に迷う
I get hurt,怪我をする / 傷つく
I get sick,体調を崩す / 病気になる
I ask for help,助けを求める
I keep on V-ing,〜し続ける
I end up V-ing,結局〜することになる
I manage to V,なんとか〜する
I fail to V,〜し損ねる / できない
I intend to V,〜するつもりだ
I mean to V,〜するつもりである
I tend to V,〜する傾向がある
I happen to V,たまたま〜する
I promise to V,〜すると約束する
I refuse to V,〜するのを拒否する
I decide to V,〜することに決める
I offer to V,〜することを申し出る
I agree to V,〜することに同意する
I prefer to V,むしろ〜する方を好む
It is safe to say that ...,〜と言っても過言ではない
It is hard to say,何とも言えない
It is up to you,あなた次第だ
It is worth V-ing,〜する価値がある
It takes effort to V,〜するには努力が必要だ
It looks like ...,〜のように見える
It is obvious that ...,〜なのは明らかだ
It is clear that ...,〜なのは明確だ
It is natural that ...,〜なのは当然だ
It is impossible to V,〜するのは不可能だ
I take a picture,写真を撮る
I take a walk,散歩する
I take a shower,シャワーを浴びる
I take a look at ...,〜をちょっと見る
I take an exam,試験を受ける
I make an effort,努力する
I make a phone call,電話をかける
I make a reservation,予約をする
I make progress,上達する / 進歩する
I make sense of ...,〜を理解する
I catch a cold,風邪をひく
I keep in touch with ...,〜と連絡を取り合う
I take part in ...,〜に参加する
It takes place,（行事などが）開催される / 起こる
I play a role in ...,〜で役割を果たす
I have a good memory,記憶力が良い
I keep a diary,日記をつける
I keep a secret,秘密を守る
I keep my word,約束を守る
I break a promise,約束を破る
I tell a lie,嘘をつく
I tell the truth,真実を話す
I ask a question,質問をする
I answer the phone,電話に出る
I hang up the phone,電話を切る
I leave a message,伝言を残す
I take a note,メモを取る
I take a seat,席に着く / 座る
I take a rest,休憩する
I take a chance,イチかバチかやってみる / 賭けに出る
I give a hand,手を貸す / 手伝う
I give a speech,スピーチをする
I give advice,助言する / アドバイスする
I pay in cash,現金で支払う
I pay by credit card,クレジットカードで支払う
I waste time,時間を無駄にする
I save time,時間を節約する
I kill time,時間を潰す
I lose weight,体重を減らす / 痩せる
I gain weight,体重が増える / 太る
I stay in touch with ...,〜と連絡を取り続ける
I go on a diet,ダイエットをする
I go on a trip,旅行に行く
I go shopping,買い物に行く
I go for a walk,散歩に出かける
I go abroad,海外に行く
I get a chance to V,〜する機会を得る
I get in touch with ...,〜と連絡を取る
I get ready for ...,〜の準備をする
I get rid of ...,〜を処分する / 手放す
It depends on the situation,状況による
It costs a lot,費用がたくさんかかる
It works well,上手くいく / 効果がある
It doesn't work,動かない / うまく機能しない
It seems to me that ...,私には〜のように思える
It occurs to me that ...,〜ということがふと思い浮かぶ
It is convenient for me,都合が良い
It is likely to V,〜しそうである / 〜する可能性が高い
It is unlikely to V,〜しそうにない
It is good to know that ...,〜と分かって良かった
I have a fever,熱がある
I make sure to V,必ず〜するようにする
I take it easy,気楽にやる / のんびり過ごす
I have trouble V-ing,〜するのに苦労する
I have no idea,全くわからない
I am planning to V,〜する予定だ
I am supposed to V,〜することになっている
I am familiar with ...,〜をよく知っている / 精通している
I am in charge of ...,〜を担当している
I am satisfied with ...,〜に満足している
I feel like V-ing,〜したい気分だ
I feel comfortable,居心地が良い / リラックスできる
I get tired of ...,〜に飽きる / うんざりする
I get in trouble,トラブルに巻き込まれる / 困ったことになる
I get nervous,緊張する
I spend money on ...,〜にお金を使う
I take responsibility,責任を取る
I take advantage of ...,〜を利用する / 生かす
I keep an eye on ...,〜から目を離さない / 見守る
I fill out a form,用紙に記入する
I sign up for ...,〜に申し込む
